track_id,track_name,track_popularity,explicit,artist_name,album_name,release_date,user_id
24b6djSbUFQtXAdyb3FMbr,PTSD,63,True,Pop Smoke,Meet The Woo,2019-07-26,1e2e44dad56e626f
2TPK5ywzf7Z6xYekKzTMJY,Sarnevesht,0,False,Gdaal,Sarnevesht,2019-08-27,1e2e44dad56e626f
6lYUQRMU1AzryBoWrH0VJS,I'm Coming,41,True,J Hus,The 15th Day,2017-02-27,1e2e44dad56e626f
4GIsskMpViPkt0uzPJTJSp,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",68,True,The Notorious B.I.G.,Duets: The Final Chapter,2005-11-18,1e2e44dad56e626f
62J6NNzf4zGgSNn2TNbiDQ,Ziadesh Khoobe - Arian Goleh Remix,0,False,Alireza Jj,Ziadesh Khoobe (Arian Goleh Remix),2018-03-08,1e2e44dad56e626f
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),75,True,Cardi B,WAP (feat. Megan Thee Stallion),2020-08-07,1e2e44dad56e626f
6GCRnf1W9OKxok9fvNp3pz,Valentine's Day (Shameful),45,True,Kehlani,Valentine's Day (Shameful),2020-02-19,1e2e44dad56e626f
2gam98EZKrF9XuOkU13ApN,Promiscuous,86,False,Nelly Furtado,Loose,2006-01-01,1e2e44dad56e626f
40LYL1Z6xgCn5cBybo5K0D,It's Quiet Uptown,66,False,Renée Elise Goldsberry,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
3hiXR95RrJCaYqykCQmYLH,Watch Me Burn,58,True,Michele Morrone,Dark Room,2020-02-14,1e2e44dad56e626f
4LihUZcWy0B6lGLqcJ8u9B,New Rules,59,False,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,1e2e44dad56e626f
7xQAfvXzm3AkraOtGPWIZg,Wow.,77,True,Post Malone,Hollywood's Bleeding,2019-09-06,1e2e44dad56e626f
5f63XLd7pQoeBaq8YgMwX3,Confessions,0,True,NorthSideBenji,Caviar Dreams,2019-01-18,1e2e44dad56e626f
5XzombolzpiaOSTdj1W0VS,Bleed,52,True,A Boogie Wit da Hoodie,Artist 2.0 (Deluxe),2020-06-19,1e2e44dad56e626f
0L1IszgjzIZRBENyHJTQms,Dear Society,0,False,Madison Beer,Dear Society,2019-05-17,1e2e44dad56e626f
60ByM4iRPMZ7h8b1a32Ur0,Dem Boy Paigon,55,True,J Hus,The 15th Day,2017-02-27,1e2e44dad56e626f
6RHHbAbyIcPpvS1dP3KUGq,Running Up That Hill,1,False,Placebo,Covers,2003-03-24,1e2e44dad56e626f
18AJRdgUoO9EYn11N7xzaT,Habits (Stay High),74,False,Tove Lo,Queen Of The Clouds,2014-09-24,1e2e44dad56e626f
5KEL3nc5dlsA6hyS87ozRZ,4x4,53,False,Young T & Bugsey,4x4,2017-08-03,1e2e44dad56e626f
35RJhm1pEovTBwnNR0zWad,GREECE (feat. Drake),69,True,DJ Khaled,GREECE (feat. Drake),2020-07-16,1e2e44dad56e626f
32xx0fAv3CIeGmNaWTHvEF,Heebiejeebies - Bonus,56,True,Aminé,Good For You,2017-07-28,1e2e44dad56e626f
5f14ylFBAuwqVHXvafqtmd,079ME,56,False,B Young,079ME,2018-06-21,1e2e44dad56e626f
3zo4pmuH70gbFY9pLvJhky,Bachegia,0,False,Wantons,Bachegia,2019-12-06,1e2e44dad56e626f
4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),68,False,Stormzy,Heavy Is The Head,2019-12-13,1e2e44dad56e626f
7b3kspTmqpX7zjrVvRGRu4,Seyl,39,False,Mehrad Hidden,Seyl,2020-01-02,1e2e44dad56e626f
5jjZikDrEd0by1o7V3fO4y,overwhelmed,64,False,Royal & the Serpent,Overwhelmed,2020-06-26,1e2e44dad56e626f
6CTrCqvZzjFj7PqEZM0Vjd,Love Is A Gamble (feat. Kida Kudz),54,True,Sneakbo,9 LIVES,2020-04-24,1e2e44dad56e626f
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,83,False,Kendrick Lamar,DAMN.,2017-04-14,1e2e44dad56e626f
69F4G9WD5U1vKrpaCiLznl,Woi,49,True,Digga D,Woi,2020-07-02,1e2e44dad56e626f
2DdI0KRBuxV5Km0bkm67yh,One Second (feat. H.E.R.),55,True,Stormzy,Heavy Is The Head,2019-12-13,1e2e44dad56e626f
78KyOmqWmqLkQcXO1cA7MO,Fashion Week (feat. AJ Tracey & MoStack),53,True,Steel Banglez,Fashion Week (feat. AJ Tracey & MoStack),2019-03-21,1e2e44dad56e626f
2Jvcvvz3qqNsFEzryvcaCs,WINE,0,False,B Young,WINE,2020-02-13,1e2e44dad56e626f
0neHNQl5W4XqAarFxCnni7,Going Out Of My Way,35,False,M.O,Modus Operandi,2020-06-26,1e2e44dad56e626f
2g7uRZ68eLtv74XrxgdT2q,"Young, Wild & Free (feat. Bruno Mars)",63,True,Snoop Dogg,Mac and Devin Go To High School (Music From and Inspired By The Movie),2011-12-09,1e2e44dad56e626f
0QJRDx111g3E2GfM24DMyo,Addicts (feat. M Huncho),46,True,Unknown T,Rise Above Hate,2020-07-17,1e2e44dad56e626f
4hGsbyf3p0U5mlJTJwiUTq,Butterflies (feat. Not3s),0,True,AJ Tracey,AJ Tracey,2019-02-08,1e2e44dad56e626f
63mdJr3NMY3wReOkNE6c6W,People You Know,74,False,Selena Gomez,Rare,2020-01-10,1e2e44dad56e626f
0zam8ySjohKAz2jFN6OUwj,Shawty Inda Bando (feat. Baseman),24,True,J Hus,The 15th Day,2017-02-27,1e2e44dad56e626f
7lidXGPXPYLNThITAOTlkK,You should be sad,68,True,Halsey,Manic,2020-01-17,1e2e44dad56e626f
75pQd26khpV9EMVBRIeDm6,To Be Human,50,False,MARINA,Love + Fear,2019-04-04,1e2e44dad56e626f
0P09TBGSKiQwfUsEh1UafT,The World Was Wide Enough,66,False,Leslie Odom Jr.,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
5olPLu1X90R1OkaEk5Emni,Bipolar,0,True,Sneakbo,Bipolar,2017-03-10,1e2e44dad56e626f
36y5E5cxFbz6xU8UqT7Iv7,Love Myself,47,True,Olivia O'Brien,Was It Even Real?,2019-04-26,1e2e44dad56e626f
7sauoHbARFX973VeFE5P11,Ta Yeja,22,True,Shayea,Ta Yeja,2020-07-30,1e2e44dad56e626f
31ukPxOH3VdRrjN566srKh,Warm It Up,28,False,J Hus,The 15th Day,2017-02-27,1e2e44dad56e626f
79s5XnCN4TJKTVMSmOx8Ep,Dior,76,True,Pop Smoke,Meet The Woo,2019-07-26,1e2e44dad56e626f
56z2qI0gKcPthQF6l8AW3E,Bust Your Windows,61,False,Jazmine Sullivan,Fearless,2008-09-23,1e2e44dad56e626f
33EGYJLLwz56YIP5Ex9VKs,West Ten,1,True,AJ Tracey,West Ten,2020-07-02,1e2e44dad56e626f
0jllH0usRFD4LJkJnGK9Lf,Complicated,0,False,Olivia O'Brien,Complicated,2015-08-09,1e2e44dad56e626f
60iSKGrGazRzICtMjADNSM,Hold Me While You Wait,77,False,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,1e2e44dad56e626f
48QmG1dfvMuYLxMPt7KSRA,No Lie,83,False,Sean Paul,Mad Love The Prequel,2018-06-29,1e2e44dad56e626f
6Juv5N0dNU1imms9c9u1dA,Papi Chulo,1,True,Octavian,Papi Chulo,2020-03-13,1e2e44dad56e626f
1anPEbLiqbSKRBoZuf6LV9,Yeki Dige (feat. Arash Dara),0,False,Mehrad Hidden,"Bozorg, Vol. 2",2015-02-27,1e2e44dad56e626f
2TK2KSrzXD6W01qjXVjNGh,The Room Where It Happens,71,False,Leslie Odom Jr.,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
5LoFozJ5JLyAFq6dbn2jEp,Dumpin',0,True,2Pac,Pac's Life,2006-01-01,1e2e44dad56e626f
6K9OZXwIHqD4eKwQjgwsoj,Man Age To Nabashi,0,False,Hichkas,Man Age To Nabashi,2012-09-29,1e2e44dad56e626f
2qQg4qcqJmAalzRwhgf5mt,In The End,55,False,Tommee Profitt,In The End,2019-03-22,1e2e44dad56e626f
16qYlQ6koFxYVbiJbGHblz,G.O.M.D.,4,True,J. Cole,2014 Forest Hills Drive,2014-12-09,1e2e44dad56e626f
0LpHC9mhPAQC98IjXZIrif,The Election of 1800,67,True,Daveed Diggs,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
7clEX6NRkirsMYOGYNP6ZF,Jumanji - Shift K3Y Remix,30,False,B Young,Jumanji (Shift K3Y Remix),2018-02-16,1e2e44dad56e626f
534V2DcmQ3lAgX0wsKhrdW,Az Oonayi,0,False,Alireza Jj,Az Oonayi,2017-06-02,1e2e44dad56e626f
5nexAvWNhwg51EavnDgViy,Toxic,66,True,Kehlani,It Was Good Until It Wasn't,2020-05-08,1e2e44dad56e626f
7EsSVPxaYoAZjQwhspJBs2,"Who Lives, Who Dies, Who Tells Your Story",68,False,Original Broadway Cast of Hamilton,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
2qFIJT5hjqaNFA1GKwl9me,Take a Break,68,False,Phillipa Soo,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
2Mfv5HaqnI18Q9JRv9hqnn,Still Learning,51,False,Halsey,Manic,2020-01-17,1e2e44dad56e626f
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,82,True,Juice WRLD,Goodbye & Good Riddance,2018-12-10,1e2e44dad56e626f
5W5MRU12dpuOnd5WmWzian,In The Heat Of The Moment,56,False,Noel Gallagher's High Flying Birds,Chasing Yesterday (Deluxe),2015-03-02,1e2e44dad56e626f
3WkibOpDF7cQ5xntM1epyf,It Wasn't Me,80,False,Shaggy,Hot Shot,2000-08-08,1e2e44dad56e626f
5Jgbx0E86vqMs1adjNKeJA,No Way,22,True,J Hus,The 15th Day,2017-02-27,1e2e44dad56e626f
4jnO4ztskhv3YkqgFnewtD,feelings fade,43,True,gnash,me,2015-12-25,1e2e44dad56e626f
4cxvludVmQxryrnx1m9FqL,My Shot,73,True,Lin-Manuel Miranda,Hamilton (Original Broadway Cast Recording),2015-09-25,1e2e44dad56e626f
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,89,False,The Weeknd,After Hours,2020-03-20,1e2e44dad56e626f
34YkG2pMNOldalZtevHztN,On Deck,41,True,Abracadabra,On Deck,2020-07-16,1e2e44dad56e626f
7x9nXsowok1JszkVztI5NI,Writing on the Wall (feat. Post Malone & Cardi B),51,True,French Montana,Writing on the Wall (feat. Post Malone & Cardi B),2019-09-27,1e2e44dad56e626f
1nYzjrdVQ8RpF93M0jPFW7,Remember That Night?,71,False,Sara Kays,Remember That Night?,2020-11-06,1e2e44dad56e626f
1W7zkKgRv9mrLbfdQ8XyH3,Gangsta,76,True,Kehlani,Suicide Squad: The Album,2016-08-05,1e2e44dad56e626f
1qFMIjTe9esCDiytqUY19t,i can't breathe,49,False,Bea Miller,aurora,2018-02-23,1e2e44dad56e626f
3B0WbRucJ6ZIla2G9IVt2E,I Dunno (feat. Dutchavelli & Stormzy),58,True,Tion Wayne,I Dunno (feat. Dutchavelli & Stormzy),2020-05-29,1e2e44dad56e626f
4IeXHed9x1xm8fXyrHPnd5,Dark Vader,45,False,J Hus,Big Spang - EP,2018-05-30,1e2e44dad56e626f
0VV39GuTsAxpxaiK7l27qO,Love Is A Gamble (feat. Kida Kudz),37,True,Sneakbo,Love Is A Gamble,2020-02-20,1e2e44dad56e626f
4CEGyF5A5u5BjweVvkgCsn,Crown,55,False,Stormzy,Heavy Is The Head,2019-12-13,1e2e44dad56e626f
5D2mYZuzcgjpchVY1pmTPh,Candy Shop,80,True,50 Cent,The Massacre,2005-03-03,1e2e44dad56e626f
4cp1YEbIC15IeZyX8JikKH,WINE,53,False,B Young,WINE,2020-02-13,1e2e44dad56e626f
2LIh4uzqq9cXMPzzmcToHl,Lost on You,3,False,LP,Lost on You,2017-05-05,1e2e44dad56e626f
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),75,True,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,1e2e44dad56e626f
7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),62,True,Young Thug,The London (feat. J. Cole & Travis Scott),2019-05-23,1e2e44dad56e626f
40mjsnRjCpycdUw3xhS20g,GATTI,70,True,JACKBOYS,JACKBOYS,2019-12-27,1e2e44dad56e626f
2qJBAYZZzB7WcBXSxw6cXk,Yadam Toro Faramush,0,False,Gdaal,70,2016-09-26,1e2e44dad56e626f
2S2ELB9wL0YDx9R1EvOfQX,7abibti Mnen- حبيبتي منين,44,False,Husam Al Rassam,Gol Ma Ahebak- كول ما احبك,2013-10-15,1e2e44dad56e626f
3NgCzSW98SsqBdpYcnm4kv,I Have Questions,54,False,Camila Cabello,I Have Questions,2017-05-21,1e2e44dad56e626f
0Jlcvv8IykzHaSmj49uNW8,the 1,78,True,Taylor Swift,folklore,2020-07-24,1e2e44dad56e626f
6dTBKBqIN4324sThIkZpMj,If The World Was Ending,0,False,JP Saxe,If The World Was Ending,2019-10-17,1e2e44dad56e626f
2clQFJc9WNnzEIy7XKV4qr,Say Yeah,36,True,Mnelia,Say Yeah,2020-02-04,1e2e44dad56e626f
2JbO1rep5Um3RAKB8szQrR,Barking,67,False,Ramz,Blockbuster,2019-05-17,1e2e44dad56e626f
1TEL6MlSSVLSdhOSddidlJ,needy,74,True,Ariana Grande,"thank u, next",2019-02-08,1e2e44dad56e626f
35a4DfzBzQ8pDyskb2ku4z,Ehtiaj Daram,0,False,Shayea,Injaneb,2019-09-29,1e2e44dad56e626f
6ujASdvAXFvITLHkrbRaSM,Enty Jameela,0,False,Flipperachi,Enty Jameela,2019-03-08,1e2e44dad56e626f
2cgELeRnPeDFuGrY96Lj6m,Trust Issues,40,False,NSG,Trust Issues,2019-10-03,1e2e44dad56e626f
5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),62,True,Zedd,Good Thing (with Kehlani),2019-09-27,1e2e44dad56e626f
38micCD7BMyIUP3JtMXnzh,Nemidooni Cheqad Delam Mikhad,0,False,Shayea,Injaneb,2019-09-29,1e2e44dad56e626f
2kSdFyyM9O7JqmmTBgVs6V,Birds,43,True,M Huncho,Utopia,2019-04-12,1e2e44dad56e626f
3uAN7G71iZl9zN8uxMRpKO,Thumb,37,True,M Huncho,Thumb,2019-10-31,1e2e44dad56e626f
