weekdate,position,artist,track
2010-01-29,30,JASON DERULO,WHATCHA SAY
2010-01-29,31,BLACK EYED PEAS,I GOTTA FEELING
2010-01-29,32,ALICIA KEYS,DOESN'T MEAN ANYTHING
2010-01-29,33,FLORENCE & THE MACHINE,DOG DAYS ARE OVER
2010-01-29,34,WILEY & CHEW FU,TAKE THAT
2010-01-29,35,ALEXANDRA BURKE FT FLO RIDA,BAD BOYS
2010-01-29,36,GLEE CAST,TAKE A BOW
2010-01-29,37,CHERYL COLE,FIGHT FOR THIS LOVE
2010-01-29,38,JOE MCELDERRY,THE CLIMB
2010-01-29,39,ROBBIE WILLIAMS,YOU KNOW ME
2010-01-29,40,PITBULL FT AKON,SHUT IT DOWN
2010-01-29,41,SUB FOCUS,COULD THIS BE REAL
2010-01-29,42,RIHANNA FT YOUNG JEEZY,HARD
2010-01-29,43,30 SECONDS TO MARS,KINGS AND QUEENS
2010-01-29,44,GLEE CAST,GOLD DIGGER
2010-01-29,45,MICHAEL BUBLE,HAVEN'T MET YOU YET
2010-01-29,46,JAY SEAN FT LIL WAYNE,DOWN
2010-01-29,47,LOSTPROPHETS,WHERE WE BELONG
2010-01-29,48,FUGATIVE,SUPAFLY
2010-01-29,49,LADY GAGA,TELEPHONE
2010-01-29,50,DRAKE/KANYE/LIL WAYNE/EMINEM,FOREVER
2010-02-05,1,OWL CITY,FIREFLIES
2010-02-05,2,GLEE CAST,DON'T STOP BELIEVIN'
2010-02-05,3,IYAZ,REPLAY
2010-02-05,4,3OH3 FT KATY PERRY,STARSTRUKK
2010-02-05,5,SIDNEY SAMSON FT WIZARD SLEEVE,RIVERSIDE (LET'S GO)
2010-02-05,6,JLS,ONE SHOT
2010-02-05,7,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
2010-02-05,8,JOURNEY,DON'T STOP BELIEVIN'
2010-02-05,9,EXAMPLE,WON'T GO QUIETLY
2010-02-05,10,JAY-Z FT MR HUDSON,YOUNG FOREVER
2010-02-05,11,ALEXANDRA BURKE,BROKEN HEELS
2010-02-05,12,LADY GAGA,BAD ROMANCE
2010-02-05,13,SATURDAYS,EGO
2010-02-05,14,N-DUBZ FT MR HUDSON,PLAYING WITH FIRE
2010-02-05,15,JAY SEAN/SEAN PAUL/LIL JON,DO YOU REMEMBER
2010-02-05,16,KESHA,TIK TOK
2010-02-05,17,TIMBALAND FT KATY PERRY,IF WE EVER MEET AGAIN
2010-02-05,18,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
2010-02-05,19,PLAN B,STAY TOO LONG
2010-02-05,20,JUSTIN BIEBER,ONE TIME
2010-02-05,21,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
2010-02-05,22,BLACK EYED PEAS,MEET ME HALFWAY
2010-02-05,23,ALICIA KEYS,DOESN'T MEAN ANYTHING
2010-02-05,24,RIHANNA,RUSSIAN ROULETTE
2010-02-05,25,BIFFY CLYRO,MANY OF HORROR
2010-02-05,26,CHIPMUNK FT TALAY RILEY,LOOK FOR ME
2010-02-05,27,PIXIE LOTT,CRY ME OUT
2010-02-05,28,RIHANNA,RUDE BOY
2010-02-05,29,ONEREPUBLIC,ALL THE RIGHT MOVES
2010-02-05,30,TIMBALAND/NELLY FURTADO/SOSHY,MORNING AFTER DARK
2010-02-05,31,BLACK EYED PEAS,I GOTTA FEELING
2010-02-05,32,GIRLS CAN'T CATCH,ECHO
2010-02-05,33,PITBULL FT AKON,SHUT IT DOWN
2010-02-05,34,CHERYL COLE FT WILL I AM,3 WORDS
2010-02-05,35,JASON DERULO,WHATCHA SAY
2010-02-05,36,FLORENCE & THE MACHINE,DOG DAYS ARE OVER
2010-02-05,37,CHERYL COLE,FIGHT FOR THIS LOVE
2010-02-05,38,WILEY & CHEW FU,TAKE THAT
2010-02-05,39,ALEXANDRA BURKE FT FLO RIDA,BAD BOYS
2010-02-05,40,YOUNG MONEY FT LLOYD,BEDROCK
2010-02-05,41,JAY-Z/BONO/EDGE/RIHANNA,STRANDED (HAITI MON AMOUR)
2010-02-05,42,LADY GAGA,TELEPHONE
2010-02-05,43,RIHANNA FT YOUNG JEEZY,HARD
2010-02-05,44,ROBBIE WILLIAMS,YOU KNOW ME
2010-02-05,45,BEYONCE,REHALO
2010-02-05,46,JAY SEAN FT LIL WAYNE,DOWN
2010-02-05,47,CALVIN HARRIS,YOU USED TO HOLD ME
2010-02-05,48,GLEE CAST,TAKE A BOW
2010-02-05,49,MICHAEL BUBLE,HAVEN'T MET YOU YET
2010-02-05,50,JOE MCELDERRY,THE CLIMB
2010-02-12,1,OWL CITY,FIREFLIES
2010-02-12,2,JEDWARD FT VANILLA ICE,UNDER PRESSURE (ICE ICE BABY)
2010-02-12,3,TIMBALAND FT KATY PERRY,IF WE EVER MEET AGAIN
