artist_id,primary_genre,supergenre,artist_image,artist_name,artist_popularity
01PnN11ovfen6xUOHfNpn3,uk garage,Garage & Breaks,https://i.scdn.co/image/ab6761610000e5ebddeeadc7793743f12a7a3959,Overmono,58
01Ru0hfWYNVxQHtFkvYY7r,Rock,Rock,https://i.scdn.co/image/ab6761610000e5eb67d772cc9fd5847677ec8bcd,Floating Action,41
01UrELDCYrQ6wrFArNbidS,psychedelic rock,Rock,https://i.scdn.co/image/ab6761610000e5ebe9ee470b66dcd837868828d8,Pearls Before Swine,24
01WjpKiWVNurV5hjIadB8C,industrial rock,Rock,https://i.scdn.co/image/ab6761610000e5eba65ceef7fe995c88c6c6ada6,Filter,58
01Z8Z9K54zewyP04ZfGLSv,classic soul,R&B/Soul,https://i.scdn.co/image/5f19bee526185a406666199a27abe2a6e3d391b1,Irma Thomas,50
01aC2ikO4Xgb2LUpf9JfKp,modern blues,Blues,https://i.scdn.co/image/ab6761610000e5eb9d5088ae6a4e5acf0e0c2191,Gary Clark Jr.,58
01hRNr3yF5bYnPq4wZ88iI,Rock,Rock,https://i.scdn.co/image/ab6761610000e5eb510f182fe0230dc7beacaee0,Tommy James & The Shondells,57
01liH6TfxmDMkDHrUKDzFp,Rock,Rock,https://i.scdn.co/image/ab6761610000e5ebb98c7556ac81b91f8e129496,Langkamer,22
01lz5VBfkMFDteSA9pKJuP,Rock,Rock,https://i.scdn.co/image/ab6761610000e5ebd846e7e95fbda84c719c0bff,The Click Five,53
01mXk9IDlVczWwZvVHAiIS,nu jazz,Jazz,https://i.scdn.co/image/ab6761610000e5eb79a51d7f3b48771f12780399,Kamaal Williams,37
01vieJHWhg5Vxk57RmfGau,uk garage,Garage & Breaks,https://i.scdn.co/image/ab6761610000e5eb77b8bc688230ff4aef7b435f,Sunship,53
01wXJJ2iH73waMzLrINVY6,hard techno,Techno & Trance,https://i.scdn.co/image/ab6761610000e5eb80a0bb8b90a5591f3db52231,Rikhter,33
01xLZpUkAEhuT3ZBOoBKVN,acid techno,Techno & Trance,https://i.scdn.co/image/ab67616d0000b27346c036253e56b3b1b9e6a01f,Fred Giannelli,4
021DnAkhugUCMBCsmciPVK,traditional folk,Folk/Acoustic,https://i.scdn.co/image/ab6761610000e5ebf0026d610a87934b20580121,The Furrow Collective,19
023YMawCG3OvACmRjWxLWC,Jazz,Jazz,https://i.scdn.co/image/ab6761610000e5eb0d68cfd11584f33655c94244,The Cat Empire,56
02AM03mK2DQTiDr33b87f6,jungle,Bass Music,https://i.scdn.co/image/ab6761610000e5ebd1ff40dce922784961369d98,Cloud 9,12
