artist_name,artist_id,artist_popularity,artist_image,primary_genre,super_genre
Freak Masters,2tIdiDL8wQntDVSpC7K3nu,0,https://i.scdn.co/image/ab67616d0000b2734d5af8e79e50a0e0ac976e02,Electronic,Ambient & Experimental Electronic
Fred Van Hove,2CNuqNL1RlBr6d16LH0sw1,0,https://i.scdn.co/image/ab67616d0000b273e26ece5b6824d6ed9021e809,free jazz,Jazz
Frisky & Mannish,4SqRQprhiFuELVUXfe3Lct,0,https://i.scdn.co/image/ab6761610000e5ebd6c6d613e9cb416e4f642fb2,,
GATLING,10vQ4130pKkZsbMBoE2ft5,0,https://i.scdn.co/image/ab67616d0000b273fe1a9965b5872e4c17f29e56,Rock,Rock
Gabriel <3,0cAaBr28wSJGPadZdR35cQ,0,https://i.scdn.co/image/ab6761610000e5ebe9da3670105ab9c747a0912c,Electronic,Ambient & Experimental Electronic
Garcon,2iFwQN7GKb6O8Q3YPq4vty,0,https://i.scdn.co/image/ab6761610000e5eb4700abaef9da7bff9515535a,hi-nrg,Electronic Dance Music (EDM)
Garp,5w8DFdOINv3dMxAI5xjWn8,0,https://i.scdn.co/image/ab67616d0000b273b110298ba066ff0eabae6ad8,Electronic,Ambient & Experimental Electronic
Gaza Technic,6cLgrb0JpFqKBDEDJlomd6,0,https://i.scdn.co/image/ab6761610000e5ebfc2cd27463876c074fe87289,turkish hip hop,Hip Hop/Rap
Gena Raps,7bXQel2OlKm490tVZoTF8O,0,https://i.scdn.co/image/ab67616d0000b27389e9be86b09b7b22a4e11f9a,Classical,Classical/Orchestral
Geoff Mullen,1UGAJIJsfFFbkR5t6KMUxt,0,https://i.scdn.co/image/ab67616d0000b2732855668e0334c91fde17306b,drone,Ambient & Experimental Electronic
George Lewis' Jazz Band,2eUDx7ujygr0L7H2c5SdmS,0,https://i.scdn.co/image/ab67616d0000b273a5f63c5e3ee191df4e2d31dc,ragtime,Jazz
Girl & the Unicorn,6jSRzA6h34XsSCHVf9VxGH,0,https://i.scdn.co/image/ab67616d0000b2738cbcb262ddbddd72c2b2fe0f,,
Giuseppe Cavallo,62a7y8oPbm2ADpYDYCNDPl,0,https://i.scdn.co/image/ab67616d0000b273b2a649652e088a24ab96d1fd,Classical,Classical/Orchestral
