date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
20-07-2023,Australia to gain priority access to US military equipment under Washington proposal,Aukus requests would be handled faster than almost all applications ‘other than from Taiwan and Ukraine’,https://www.theguardian.com/world/2023/jul/20/australia-us-aukus-military-defence-equipment-priority-access-export-control,https://media.guim.co.uk/40c028b337a53b76b350a5e44b36a8e34c9ded4b/0_174_2103_1262/500.jpg
21-07-2023,Australian classification board rejects calls to restrict graphic novel Gender Queer,Board finds memoir by non-binary writer Maia Kobabe ‘appropriate for its intended audience’ following an appeal,https://www.theguardian.com/world/2023/jul/21/graphic-novel-gender-queer-australian-classification-board-appeal-rejected,https://media.guim.co.uk/46edc57d6eba64035e380309e89d90802f48292a/876_0_4080_2448/500.jpg
22-07-2023,Russia-Ukraine war at a glance: what we know on day 514 of the invasion,"Moscow ‘waging war’ on global food supply, US tells UN; Putin says it will use ‘all means at its disposal’ to defend Belarus after Warsaw moves troops to east",https://www.theguardian.com/world/2023/jul/22/russia-ukraine-war-at-a-glance-what-we-know-on-day-514-of-the-invasion,https://media.guim.co.uk/fb976592cad0f91bdef3a2891ff9ac6763689257/0_408_6123_3674/500.jpg
23-07-2023,Cambodia strongman Hun Sen set to claim landslide election victory after banning opposition ,"Long-time ruler, who has ruthlessly oppressed critics, has indicated he will soon hand power to his son",https://www.theguardian.com/world/2023/jul/23/cambodia-strongman-hun-sen-set-to-claim-landslide-election-victory-after-banning-opposition,https://media.guim.co.uk/db8133aa3662e6c1e4b228d0315c3e48fb61b59e/0_313_6048_3628/500.jpg
24-07-2023,Macron in New Caledonia: why is the territory divided and will it break away from France?,French president to meet leaders in Noumea as many continue to push for independence after disputed 2021 referendum,https://www.theguardian.com/world/2023/jul/24/emmanuel-macron-new-caledonia-trip-will-it-break-away-independence-referendum,https://media.guim.co.uk/ff4eb20883b3039e2118131a2de75bbf869dcefe/0_344_7597_4559/500.jpg
25-07-2023,Israel protests: doctors announce strike amid mass demonstrations over judicial overhaul,Passing of key part of Benjamin Netanyahu’s plan to reduce power of courts is met with calls for strike action and street protests by thousands,https://www.theguardian.com/world/2023/jul/25/israel-protests-judicial-overhaul-reform-news-doctors-strike,https://media.guim.co.uk/e69c9c511f8fa3b99788c1a8f21a6121217fff86/0_93_4896_2938/500.jpg
26-07-2023,Russia raises the maximum age of conscription as it seeks to replenish Ukraine forces,"From 2024, anyone aged 18 to 30 will be called up for a year of military service, with those served draft notices banned from leaving the country",https://www.theguardian.com/world/2023/jul/26/russia-conscription-maximum-age-raised-ukraine-war,https://media.guim.co.uk/7fd7894e182aaa2f62124b6db48e5883f09b4775/0_33_3607_2166/500.jpg
27-07-2023,"Moldova expels 45 Russian diplomats and embassy staff, citing years of ‘hostile actions’",The country’s foreign minister alluded to media reports of alleged spying equipment installed on the roof of Russia’s embassy in Chișinău,https://www.theguardian.com/world/2023/jul/27/moldova-expels-45-russia-diplomats-russian-embassy-officials-staff,https://media.guim.co.uk/99b643501a4bd7339d715904e4ccb3fd1ef5952e/0_403_5293_3177/500.jpg
28-07-2023,Philippines: 26 people killed after overloaded ferry capsizes amid Typhoon Doksuri winds,Another 40 people have been rescued after boat overturned just after leaving wharf in Rizal province,https://www.theguardian.com/world/2023/jul/28/philippines-ferry-capsizes-death-toll-typhoon-doksuri-winds,https://media.guim.co.uk/9f9980a978042ced30c46dc5386c6a0824a85a28/0_219_6567_3940/500.jpg
29-07-2023,‘Something weird is going on’: search for answers as Antarctic sea ice stays at historic lows,Some scientists fear the ‘shocking’ shift is the beginning of a global heating-linked collapse of the ice that could have alarming knock-on effects<br>,https://www.theguardian.com/world/2023/jul/29/something-weird-is-going-on-search-for-answers-as-antarctic-sea-ice-stays-at-historic-lows,https://media.guim.co.uk/e5066434123e5a77b2a47a94ebafedc0089e4918/0_368_5600_3362/500.jpg
30-07-2023,Niger coup leaders warn against military intervention as west African leaders set to meet,Heads of state will meet in Nigeria on Sunday where they will decide on further actions to pressure army leaders to restore constitutional order,https://www.theguardian.com/world/2023/jul/30/niger-coup-leaders-warn-against-military-intervention-as-west-african-leaders-set-to-meet,https://media.guim.co.uk/57f64a7665ecc8fad364d4b40556b033ee56043a/0_337_4038_2423/500.jpg
31-07-2023,Italy seeking to leave ‘atrocious’ China Belt and Road plan without harming ties – minister,"‘Improvised and atrocious’ decision in 2019 made Italy the only major western member, says Guido Crosetto, the defence minister",https://www.theguardian.com/world/2023/jul/31/italy-china-belt-and-road-initiative-atrocious-defence-minister,https://media.guim.co.uk/1b0e77787aa1e6adce2beb782d507846e832a1a5/0_234_3512_2108/500.jpg
01-08-2023,Teenager among 15 heat-related deaths as Japan and South Korea swelter,"In South Korea, 12 people died from heat-related deaths last weekend, while in Japan, three people died including a 13 year-old on her way back from school",https://www.theguardian.com/world/2023/aug/01/teenager-among-15-heat-related-deaths-as-japan-and-south-korea-swelter,https://media.guim.co.uk/bdaff29489ae62dcf445beea9d415292b457dcb3/0_400_6000_3600/500.jpg
02-08-2023,"Ukraine’s birth rate plummets in aftermath of Russian invasion, data shows","In 2023, an average of 16,000 babies have been born a month, compared to as many as 23,000 babies born monthly before Russia’s invasion",https://www.theguardian.com/world/2023/aug/02/ukraines-birth-rate-plummets-in-aftermath-of-russian-invasion-data-shows,https://media.guim.co.uk/2c2f4f99aa23299d35fbbff7b898c55dde30e10f/0_271_4060_2436/500.jpg
03-08-2023,Australia’s Indigenous voice to parliament referendum explained in 30 seconds ,Australians will decide later this year if they will change their constitution to allow an Indigenous consultative body to advise on laws and policies,https://www.theguardian.com/world/2023/aug/03/australias-indigenous-voice-to-parliament-referendum-explained-in-30-seconds,https://media.guim.co.uk/6108d976d8e24b0d1082e6fced699ba6e439967c/0_0_2500_1500/500.jpg
04-08-2023,Niger junta cancels France military ties as Biden calls for Bazoum’s release,US statement comes as ousted president says he is being held hostage and calls on international community to restore order,https://www.theguardian.com/world/2023/aug/03/niger-coup-junta-joe-biden-mohamed-bazoum,https://media.guim.co.uk/2ccf0355266dff3cd4403cad43f38b53ebf5226a/122_0_5149_3090/500.jpg
05-08-2023,Russia-Ukraine war at a glance: what we know on day 528 of the invasion,An ‘extremely fierce battle’ in the eastern city of Bakhmut and explosions reported near key Crimean bridge,https://www.theguardian.com/world/2023/aug/05/russia-ukraine-war-at-a-glance-what-we-know-on-day-528-of-the-invasion,https://media.guim.co.uk/3cc9047c4d259397b68082d2567161833732e4e2/328_371_4672_2805/500.jpg
06-08-2023,Russia-Ukraine war at a glance: what we know on day 529 of the invasion,Zelenskiy condemns attack on blood transfusion centre as ‘war crime’; Moscow vows retaliation over strike on Russian tanker in Kerch Strait,https://www.theguardian.com/world/2023/aug/06/russia-ukraine-war-at-a-glance-what-we-know-on-day-529-of-the-invasion,https://media.guim.co.uk/e6ee3e62d3bc5775f357b3db77c346e3d5c9ac33/0_55_1024_614/500.jpg
07-08-2023,China floods: at least 14 killed after torrential rain in north-east,Clean-up operations continue after rainfall destroys infrastructure and floods entire districts in aftermath of Typhoon Doksuri,https://www.theguardian.com/world/2023/aug/07/china-floods-rain-weather-deaths-jilin-province-shulan-city,https://media.guim.co.uk/d82ffdbcb17b31f8d76845c096bfd3a49b70d977/0_516_8044_4828/500.jpg
08-08-2023,Junta leaders in Niger refuse to let top US official meet ousted president,"Victoria Nuland said commanders rejected calls to restore democracy and blocked her from meeting Mohamed Bazoum, who is under house arrest",https://www.theguardian.com/world/2023/aug/08/junta-leaders-in-niger-refuse-to-let-top-us-official-meet-ousted-president,https://media.guim.co.uk/9c959a1a4bab2ade67ce044ff413b566c1e8c908/0_253_4000_2400/500.jpg
09-08-2023,Hoodies sell out in Tonga as El Niño brings wintry chill,Residents on island rush to buy warm clothing and heaters amid unusually cold winter weather for the Pacific nation,https://www.theguardian.com/world/2023/aug/09/hoodies-sell-out-in-tonga-as-el-nino-brings-wintry-chill,https://media.guim.co.uk/4033c174d4ce38653143b3670fc5a9a2758ba405/782_405_2002_1203/500.jpg
10-08-2023,Kim Jong-un fires North Korea’s top general and calls for weapons production boost,"Leader replaces Pak Su-il with defence minister, Gen Ri Yong-gil, and urges further military drills",https://www.theguardian.com/world/2023/aug/10/kim-jong-un-fires-dismisses-north-korea-top-military-general-pak-su-il,https://media.guim.co.uk/82a65458936d9359d660e47d19282ba295ff9611/0_38_3543_2126/500.jpg
11-08-2023,"Why, even now, do we think a woman’s work is worth less? | Heather Stewart",Progress in Asda equal pay case may help root out sexist assumptions behind persistent gender gap,https://www.theguardian.com/world/2023/aug/11/why-even-now-do-we-think-a-womans-work-is-worth-less,https://media.guim.co.uk/10fb219a742543041485633bdb7c71ec8fccfd0f/0_388_5418_3252/500.jpg
12-08-2023,Russia-Ukraine war at a glance: what we know on day 535 of the invasion,Zelenskiy fires regional military recruitment chiefs in anti-corruption drive; Russia gains ground around north-east town of Kupiansk,https://www.theguardian.com/world/2023/aug/12/russia-ukraine-war-at-a-glance-what-we-know-on-day-535-of-the-invasion,https://media.guim.co.uk/0991fc50c851de44694cc7095b60e5f5d21acbe4/0_0_3715_2229/500.jpg
13-08-2023,Russia-Ukraine war at a glance: what we know on day 536 of the invasion,Ukrainian forces fire missiles at Crimean Bridge; officials say Kyiv’s forces capture territories in the southSee all our Russia-Ukraine coverage,https://www.theguardian.com/world/2023/aug/13/russia-ukraine-war-at-a-glance-what-we-know-on-day-53-of-the-invasion,https://media.guim.co.uk/fc803bb574f7f93966f4c5553782b476dcdad85b/0_232_3500_2101/500.jpg
14-08-2023,India to revise colonial-era penal code and toughen laws protecting women,Home minister promises widespread reforms but some experts suggest the new laws are more a repackaging of existing measures than real change,https://www.theguardian.com/world/2023/aug/14/india-laws-protecting-women-review-penal-code,https://media.guim.co.uk/e9c515ac200765361b4ba2dbfdc0f1f84e9adf93/0_334_4953_2972/500.jpg
15-08-2023,Mount Etna eruption leads to flight cancellations at Sicily’s Catania airport,Catania’s mayor has banned the use of motorcycles and bikes while many streets in the city remain covered by ash as a result of the erupting volcano,https://www.theguardian.com/world/2023/aug/15/mount-etna-eruption-volcano-sicily-catania-airport-closure-volcanic-ash-cloud-flight-cancellations,https://media.guim.co.uk/a2190991bf15824869f166eaefbcb23c49f0290b/0_228_6016_3610/500.jpg
16-08-2023,Wednesday briefing: How the World Cup took women’s football to another level,"In today’s newsletter: England and Australia meet in the World Cup semi-finals today, in another landmark moment in a tournament making history",https://www.theguardian.com/world/2023/aug/16/first-edition-england-australia-womens-world-cup,https://media.guim.co.uk/a2a93b97431093ef131f2aa8f1e2282076472316/0_0_1000_600/500.jpg
17-08-2023,‘Gangster tactic’: the true aim behind Hong Kong’s pursuit of overseas dissidents ,"Police targeting pro-democracy activists abroad have questioned their family and put out bounties, but there is a broader, more chilling, objective behind the operation",https://www.theguardian.com/world/2023/aug/17/gangster-tactic-the-true-aim-behind-hong-kongs-pursuit-of-overseas-dissidents,https://media.guim.co.uk/910dafde9bcac4b85b7e9292bb06081502ff2be4/250_82_7702_4624/500.jpg
18-08-2023,India’s supreme court issues handbook against use of archaic terms for women,"Harmful language and stereotypes about women can lead to distortion of law, says chief justice of India",https://www.theguardian.com/world/2023/aug/18/indias-supreme-court-issues-handbook-against-use-of-archaic-terms-for-women,https://media.guim.co.uk/b181c833ef871c0ea6afd9df16d616e78c558244/0_308_4749_2849/500.jpg
19-08-2023,Russia-Ukraine war at a glance: what we know on day 542 of the invasion,"Russia’s possession of nuclear arms is response to threats, Lavrov says; rise in Ukraine battlefield casualties brings total close to half a million",https://www.theguardian.com/world/2023/aug/19/russia-ukraine-war-at-a-glance-what-we-know-on-day-542-of-the-invasion,https://media.guim.co.uk/305333f891e3947645653f2476f289a908403b05/0_101_5000_3002/500.jpg
20-08-2023,At least seven killed in Russian strike on theatre in centre of Chernihiv,"Zelenskiy vows to respond after attack on centre of northern city, reportedly involving drones, that killed six-year-old girl and injured 144",https://www.theguardian.com/world/2023/aug/19/russian-strike-on-chernihiv-ukraine,https://media.guim.co.uk/0188640d7886d76cc23e2e10944309a33e67a735/0_0_6000_3600/500.jpg
21-08-2023,Canada wildfires: Trudeau deploys military to tackle blazes across British Columbia,"More than 35,000 residents under evacuation orders across province, while flames are being held at bay 15km from Yellowknife in Northwest Territories",https://www.theguardian.com/world/2023/aug/21/canada-wildfires-trudeau-deploys-military-to-tackle-blazes-across-british-columbia,https://media.guim.co.uk/22b9a6d9ea86c0528854082096405ca8ff920d7e/0_397_6048_3627/500.jpg
22-08-2023,"New Zealand Labour’s support sinks to worst level in six years, poll finds",Prime minister Chris Hipkins says Labour now ‘underdogs’ as National gains ground ahead of 14 October election,https://www.theguardian.com/world/2023/aug/22/new-zealand-labours-support-sinks-to-worst-level-in-six-years-poll-finds,https://media.guim.co.uk/06f5cca31fe39fc778f2688a8af65a9ded6145f6/1508_275_2938_1763/500.jpg
23-08-2023,NSW court rules Catholic church can’t get a fair trial in civil case over paedophile priest,The Catholic church has successfully argued it can’t get a fair trial for alleged child abuse perpetrated by notorious priest David Joseph Perrett because Perrett and other key witnesses have died,https://www.theguardian.com/world/2023/aug/23/david-joseph-perett-nsw-court-rules-catholic-church-cant-get-a-fair-trial-in-civil-case-against-paedophile-priest,https://media.guim.co.uk/ddfb08628ffde8945cbb8ed1de5b4924fdacd65f/0_2431_3493_2095/500.jpg
24-08-2023,Wagner leader Yevgeny Prigozhin reportedly killed in plane crash with no survivors – as it happened,This blog is now closed. Read our main story at the link below:,https://www.theguardian.com/world/live/2023/aug/23/russia-ukraine-war-live-updates-drones-downed-moscow,https://media.guim.co.uk/1f9ddf3613f320ae56738d724d770a4cbf9f8588/0_66_2000_1201/500.jpg
25-08-2023,"Friday briefing: Has Yevgeny Prigozhin, Putin’s madcap mutineer, met his end? ","In today’s newsletter: Yevgeny Prigozhin is almost certainly dead – but, with the current state of chaos in Russia, could his plane crash be a smokescreen?",https://www.theguardian.com/world/2023/aug/25/friday-briefing-has-yevgeny-prigozhin-putins-madcap-mutineer-met-his-end,https://media.guim.co.uk/5d42e1cd3fdd26f946e31b2b761d02fdd43e804c/0_315_3942_2366/500.jpg
26-08-2023,Russia-Ukraine war at a glance: what we know on day 549 of the invasion,Lukashenko says Prigozhin dismissed warnings about threats to his life; Kremlin denies being behind plane crash; flight recorders and 10 bodies recovered,https://www.theguardian.com/world/2023/aug/26/russia-ukraine-war-at-a-glance-what-we-know-on-day-549-of-the-invasion,https://media.guim.co.uk/0433bd617ff3fd16bb8145b17b2836a18c097653/0_154_2313_1388/500.jpg
