date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl
31-07-2020,'Political purge' on Hong Kong opposition may spell end of democracy,Decision to bar pro-democracy candidates is a sign that even moderate dissent will not be tolerated,https://www.theguardian.com/world/2020/jul/31/hong-kong-opposition-political-purge-may-spell-end-democracy,https://media.guim.co.uk/3510621d3855b56dfc1c5c65ea3482cad15f9eed/0_217_5093_3058/500.jpg
01-08-2020,China uses Hong Kong security law against US and UK-based activists,"Arrest warrant issued for democracy activist Samuel Chu, with four British residents also wanted for ‘incitement to secession’",https://www.theguardian.com/world/2020/jul/31/china-hong-kong-security-law-american-citizen-exiles,https://media.guim.co.uk/ea45b64b249568ba9091156f4fdd806a2d8477c5/0_212_6352_3812/500.jpg
02-08-2020,Is this the beginning of the end for ‘Europe’s last dictator’?,Alexander Lukashenko of Belarus faces threats from all sides as the country decides whether to give him a sixth term as president,https://www.theguardian.com/world/2020/aug/02/is-this-the-beginning-of-the-end-for-europes-last-dictator,https://media.guim.co.uk/b508c1400d6c9e6d530e3fad5e86f5280e1c7d5d/0_196_5872_3524/500.jpg
03-08-2020,Two cruise ships hit by coronavirus weeks after industry restarts,Outbreaks of Covid-19 recorded on MS Roald Amundsen in Norway and the Paul Gauguin in Tahiti ,https://www.theguardian.com/world/2020/aug/03/two-cruise-ships-hit-by-coronavirus-weeks-after-industry-restarts,https://media.guim.co.uk/5b5b659d46976a9d23b8fbcf39db059fa931c0fe/0_332_5185_3111/500.jpg
04-08-2020,North Korea has 'probably' developed nuclear devices to fit ballistic missiles – UN,"Pyongyang’s past six nuclear tests had likely helped it develop miniaturised nuclear devices, interim report finds, echoing previous warnings",https://www.theguardian.com/world/2020/aug/04/north-korea-has-probably-developed-nuclear-devices-to-fit-ballistic-missiles-un,https://media.guim.co.uk/e40ab6a593a24eb8baf5501a3193bbbeb2a09350/246_34_2385_1431/500.jpg
05-08-2020,'Our identity has been robbed': life in Kashmir after a year of crisis,"On 5 August 2019, India revoked the Muslim-majority territory’s special semi-autonomous status and began a devastating crackdown",https://www.theguardian.com/world/2020/aug/05/our-identity-has-been-robbed-life-in-kashmir-after-a-year-of-crisis,https://media.guim.co.uk/1f80f66f3433b72d29b52d6210f8b02ba81ca6bd/0_39_6540_3927/500.jpg
06-08-2020,'To my last breath': survivors fight for memory of Hiroshima and Nagasaki,"75 years after bombings, witnesses struggle to remind us of the horrors of nuclear weapons<br>",https://www.theguardian.com/world/2020/aug/06/to-my-last-breath-survivors-fight-for-memory-of-hiroshima-and-nagasaki,https://media.guim.co.uk/b647e8f44e8e619536c47ff45900d36f4b800417/0_39_3000_1800/500.jpg
07-08-2020,Beer brand and leather store unwittingly named after Māori word for 'pubic hair',Canada’s Hell’s Basement and a shop in Wellington both thought the word ‘huruhuru’ meant ‘feather’ – they were wrong,https://www.theguardian.com/world/2020/aug/07/beer-brand-and-leather-store-unwittingly-named-after-maori-word-for-pubic-hair,https://media.guim.co.uk/cfda0253072476d8c0b2d5107a8f750fa0442267/0_433_3299_1979/500.jpg
08-08-2020,ACT's David Seymour: 'I don’t really care what people think and I’m still quite successful',"The New Zealand politician has swapped twerking on TV for a more serious policy agenda. As the election looms, it seems to be working",https://www.theguardian.com/world/2020/aug/08/acts-david-seymour-i-dont-really-care-what-people-think-and-im-still-quite-successful,https://media.guim.co.uk/6dc4d6d71eef39e4d1ce521429727ba711e6da1b/692_382_3618_2172/500.jpg
09-08-2020,"Juan Carlos, Spain's disgraced former king, may be in Abu Dhabi, reports suggest","A week after going into exile, the scandal-hit former monarch is said to be staying in a $12,000-a-night suite in the Emirates palace hotel",https://www.theguardian.com/world/2020/aug/09/juan-carlos-spain-king-abu-dhabi-reports,https://media.guim.co.uk/d5677f65cca0106111370fa1229c6a3e9b240bc6/0_66_1460_876/500.jpg
10-08-2020,Curtains for the nail house? New plan targets China's most defiant homeowners,"New law in Shenzhen means buildings can be developed with 95%, rather than 100%, support from residents – promoting concern over erosion of rights",https://www.theguardian.com/world/2020/aug/10/curtains-for-the-nail-house-new-plan-targets-chinas-most-defiant-homeowners,https://media.guim.co.uk/8f396c21413b3dd3d9ae43f7d4ffe01aa2ae12e1/0_0_4853_2912/500.jpg
11-08-2020,Belarus opposition candidate rejects election result after night of protests,"‘I will believe my own eyes,’ says Svetlana Tikhanovskaya after commission says Alexander Lukashenko won landslide",https://www.theguardian.com/world/2020/aug/10/belarus-opposition-candidate-rejects-election-result-protests-svetlana-tikhanovskaya-lukashenko,https://media.guim.co.uk/1b115fd3edfdc7a827908b91f79e539b965f6090/0_275_4593_2755/500.jpg
12-08-2020,New Zealand delays dissolving parliament amid mystery coronavirus outbreak,"Opposition party says September election must be delayed, as Auckland placed on level 3 lockdown and four more ‘probable’ cases confirmed",https://www.theguardian.com/world/2020/aug/12/new-zealand-delays-dissolving-parliament-amid-mystery-coronavirus-outbreak,https://media.guim.co.uk/d22d369790c65057d3d28282927fab3c3c2dc21a/0_14_4674_2804/500.jpg
13-08-2020,'Operation empty plate': Xi Jinping makes food waste his next target,Restaurant diners told to order one dish fewer than number of people under new system criticised as overly controlling,https://www.theguardian.com/world/2020/aug/13/operation-empty-plate-xi-jinping-makes-food-waste-his-next-target,https://media.guim.co.uk/ef8f83d26ad742b95296114f484dee37cf70a67f/0_273_4096_2458/500.jpg
14-08-2020,New Zealand Covid-19 outbreak: 13 new cases as virus spreads outside Auckland,"Two cases emerge in rural town, sparking concerns local health services could be overwhelmed",https://www.theguardian.com/world/2020/aug/14/new-zealand-covid-19-cases-all-linked-to-single-cluster-with-more-cases-expected,https://media.guim.co.uk/803842d572757e662324d16832ba12a78e18e36c/0_103_4404_2645/500.jpg
15-08-2020,'The press has to go on': Hong Kong media tycoon Jimmy Lai defies Beijing,Apple Daily founder and pro democracy activist says his case will likely be a ‘litmus test’ of Hong Kong’s legal system,https://www.theguardian.com/world/2020/aug/15/the-press-has-to-go-on-hong-kong-media-tycoon-jimmy-lai-defies-beijing,https://media.guim.co.uk/57dcf8d9a5dba08212c8a75578eb17683e5bd573/0_122_3500_2101/500.jpg
16-08-2020,New Zealand has 69 active Covid cases after 13 more diagnosed,"Twelve spread in community while 13th emerged in a quarantined returning traveller, say authorities; PM Ardern due to decide on election",https://www.theguardian.com/world/2020/aug/16/new-zealand-has-69-active-covid-cases-after-13-more-diagnosed,https://media.guim.co.uk/dec880ce70c2e896ef95ff6a5ce15d754019b831/783_228_4222_2534/500.jpg
17-08-2020,New Zealand delays general election by a month amid Auckland Covid-19 outbreak,"The prime minister, Jacinda Ardern, announces vote will move from 19 September to 17 October ",https://www.theguardian.com/world/2020/aug/17/new-zealand-to-delay-general-election-by-month-amid-auckland-covid-19-outbreak,https://media.guim.co.uk/3ff0244939ad6b5d48429102a51045fbedc4fe88/784_467_3738_2243/500.jpg
18-08-2020,"Trump calls out New Zealand’s 'terrible' Covid surge, on day it records nine new cases","US president’s discordant comments fail to reflect that 22 people have died from coronavirus in New Zealand, versus 170,000 in US ",https://www.theguardian.com/world/2020/aug/18/trump-calls-out-new-zealands-big-surge-on-day-it-records-nine-covid-cases,https://media.guim.co.uk/7bed96275e63b1526a656d79fcac137849a3d52b/0_66_6000_3600/500.jpg
19-08-2020,California governor declares state of emergency as dozens of wildfires rage,Fires prompt some areas to issue mandatory evacuations and temperatures soar into triple digits in historic heatwave,https://www.theguardian.com/world/2020/aug/18/california-wildfires-governor-declares-state-of-emergency,https://media.guim.co.uk/c121fb953482fd5dea315b5058edfa97bb7d14e7/0_100_3000_1800/500.jpg
20-08-2020,US to drop death penalty for British Isis members accused of beheadings,Assurances on Alexanda Kotey and El Shafee Elsheikh dependent on UK handing over evidence ,https://www.theguardian.com/world/2020/aug/19/us-to-drop-death-penalty-for-british-isis-members-accused-of-beheadings,https://media.guim.co.uk/926ea16ef817bc96d91197f251bc4c3419341537/0_325_5587_3354/500.jpg
21-08-2020,Papua New Guinea bans Chinese mine staff 'given experimental Covid-19 vaccine',Flight carrying workers from Chinese state-owned Ramu nickel mine cancelled by pandemic controller over concerns about vaccine trial,https://www.theguardian.com/world/2020/aug/21/papua-new-guinea-bans-chinese-mine-staff-given-experimental-covid-19-vaccine,https://media.guim.co.uk/484013d389072e82619ea28825cb8efda9750d4b/0_115_3500_2101/500.jpg
22-08-2020,'We are struggling': California under strain as fires burn area the size of Rhode Island – as it happened,"Wildfires in California which have displaced tens of thousands of people and killed at least six people, in the midst of a heatwave and a pandemic",https://www.theguardian.com/world/live/2020/aug/21/california-fires-wildfires-latest-news-updates,https://media.guim.co.uk/b8b3a67604e403ad25846333f6e2a4359ccb4e53/0_260_6000_3600/500.jpg
23-08-2020,Cross-party MPs to sue UK government for details of Covid PPE contracts,Legal letter accuses ministers of breaching transparency rules over non-disclosure of contracts worth over £5bn,https://www.theguardian.com/world/2020/aug/23/cross-party-mps-sue-government-for-details-of-covid-ppe-contracts,https://media.guim.co.uk/3b6f0182a88b208372f962762e09d31ecc6a0e32/0_238_5642_3385/500.jpg
24-08-2020,Bolsonaro tells journalist he would 'like to smash your face in' over financial questions,Response came after Brazil’s president was asked a question about mystery payments to his wife ,https://www.theguardian.com/world/2020/aug/24/bolsonaro-tells-journalist-he-would-like-to-smash-their-face-in-over-corruption-claims,https://media.guim.co.uk/8201fd11c2add6c70b9e301017a577400a946ce6/0_216_4922_2955/500.jpg
25-08-2020,California wildfire death toll up to seven as huge blazes burn on,Governor describes blazes as ‘historic’ but San Francisco Bay Area dodges major lightning storm,https://www.theguardian.com/world/2020/aug/24/california-wildfires-death-toll-evacuations-santa-cruz-bay-area-lightning-complex,https://media.guim.co.uk/7ac3d6dc11e2eae50510e88968416bf4fb697add/0_160_2400_1440/500.jpg
26-08-2020,'You are weak': floodgates open as more Christchurch victims come forward,"Court hears a mixture of defiance, anger and sadness on third day of hearing to decide gunman’s sentence, with more victims choosing to speak",https://www.theguardian.com/world/2020/aug/26/you-are-weak-floodgates-open-as-more-christchurch-victims-come-forward,https://media.guim.co.uk/ff165f4fc705c38688d71adef62700a1e3c0193b/111_70_3389_2033/500.jpg
27-08-2020,Christchurch shooting: mosque gunman sentenced to life without parole,"Australian terrorist did not oppose the unprecedented sentence, which comes after three days of emotional victim impact statements ",https://www.theguardian.com/world/2020/aug/27/christchurch-shooting-mosque-gunman-sentenced-to,https://media.guim.co.uk/5eb3c4960ef911c55526c39c43dca9b43107ea10/0_370_6720_4032/500.jpg
28-08-2020,Auckland lockdown to ease despite new Covid cases,Finance minister says ‘we are nearly there’ but urges residents to get tested if they display symptoms,https://www.theguardian.com/world/2020/aug/28/auckland-lockdown-to-ease-despite-new-covid-cases,https://media.guim.co.uk/3c540d52eef6d880593012958bc76e6f312f9dfd/0_120_4560_2736/500.jpg
29-08-2020,"Caitlin Moran: 'Every few years, I reread How To Be A Woman and marvel at what I got wrong'","When the author wrote her 2011 bestseller, she assumed she was through the hard bit. Ten years later, she’s still learning",https://www.theguardian.com/world/2020/aug/29/caitlin-moran-reread-how-to-be-a-woman-marvel-what-i-got-wrong,https://media.guim.co.uk/7465c7eae2060a6ba3db207105e261a8b8413a44/0_780_5562_3337/500.jpg
30-08-2020,New Zealand coronavirus: two new cases as Auckland lockdown due to lift,"Masks will be compulsory on public transport and strongly encouraged elsewhere, says prime minister, as restrictions wind back on Monday",https://www.theguardian.com/world/2020/aug/30/new-zealand-coronavirus-two-new-cases-as-auckland-lockdown-due-to-lift,https://media.guim.co.uk/bd039201147e75cd37f11e4d0607ac2dce4fd265/0_180_5400_3240/500.jpg
31-08-2020,Monday briefing: Mayor to Trump – this deadly violence is yours,‘Four years of your racist attacks on black people’ … England levy on plastic bags to double … school budgets stretched as classes resume,https://www.theguardian.com/world/2020/aug/31/monday-briefing-mayor-to-trump-this-deadly-violence-is-yours,https://media.guim.co.uk/505761fa768089d3b55eab4adc79bd69d99f9bcd/0_0_3500_2101/500.jpg
01-09-2020,New Zealand stock exchange hacks: who is behind them and why now? Explainer,"The stock market has been disrupted throughout the past week, with intelligence agencies brought in to track the source of the problem",https://www.theguardian.com/world/2020/sep/01/new-zealand-stock-exchange-hacks-who-is-behind-them-and-why-now-explainer,https://media.guim.co.uk/d7aaef94a9317111816fa700a60fa4cb61da6963/0_294_5130_3079/500.jpg
02-09-2020,Grounded beef? Airlines sell in-flight meals to earthbound travellers,Carriers prevented from operating due to coronavirus have turned to offering trays of takeaway to nostalgic flyers,https://www.theguardian.com/world/2020/sep/02/grounded-beef-airlines-sell-in-flight-meals-to-earthbound-travellers,https://media.guim.co.uk/a5b25bfc117003bae2839532eda93ac36469f9e0/35_495_3624_2174/500.jpg
03-09-2020,New Zealand given 'F for failure' on child obesity and youth suicide in Unicef report,‘Woeful’ result puts country in bottom 15% for overall child wellbeing which Ardern says reflects previous government’s underinvestment,https://www.theguardian.com/world/2020/sep/03/new-zealand-given-f-for-failure-on-child-obesity-and-youth-suicide-in-unicef-report,https://media.guim.co.uk/ecc17f00d59bf5225fd2f12c96a25b9071abfe05/0_66_3287_1973/500.jpg
04-09-2020,James Shaw's mea culpa on school funding exposed his lack of political nous | Claire Robinson,"Green party leader came under fire from many quarters over the project, including supporters who asked how he could make such a mistake",https://www.theguardian.com/world/2020/sep/04/james-shaws-mea-culpa-on-green-school-funding-exposed-his-lack-of-political-nous,https://media.guim.co.uk/182abe5eeabe976ad81cbf5856fc4744d14ae60e/0_180_5400_3240/500.jpg
05-09-2020,Cook Islands former PM dies of coronavirus in New Zealand,"Joseph Williams, who practised as a GP in Auckland, is praised as a ‘pioneer’ who will be greatly missed in both countries<br>",https://www.theguardian.com/world/2020/sep/05/cook-islands-former-pm-dies-of-coronavirus-in-new-zealand,https://media.guim.co.uk/41bc781fac23040da4d4450cceac70273c6f2953/0_37_979_587/500.jpg
06-09-2020,'He's been set up': the American whose life may depend on US-China relations,"Sentenced to death in China, American Mark Swidan hopes for a permanent reprieve but his fate may hinge on an easing of diplomatic tensions",https://www.theguardian.com/world/2020/sep/06/hes-been-set-up-the-american-whose-life-may-depend-on-us-china-relations,https://media.guim.co.uk/8dc9ca53fb9446453b8e8a57d1b180fe5569a476/0_71_999_599/500.jpg
07-09-2020,Hope turns to despair as Egypt arrests witnesses to alleged 2014 gang rape,Activists say detentions break promise to protect those standing up to sexual assault ,https://www.theguardian.com/world/2020/sep/07/hope-turns-to-despair-as-egypt-arrests-witnesses-to-alleged-2014-gang,https://media.guim.co.uk/a5e04992c811877ef858d1e716bba5ea2fc416ef/0_0_4128_2477/500.jpg
08-09-2020,Record year for Atlantic storms as two new systems form in a day," Rene becomes storm number 17 of the year, forming earlier than the previous record-holder, Rita in 2005",https://www.theguardian.com/world/2020/sep/08/record-year-for-atlantic-storms-as-two-new-systems-form-in-a-day,https://media.guim.co.uk/b946a6c79513f555e36432d50c14d80adc195895/0_976_4000_2400/500.jpg
09-09-2020,Oxford University Covid vaccine trial put on hold due to possible adverse reaction in participant,"A spokesman for AstraZeneca, the company working on the coronavirus vaccine, said pausing trials was common during vaccine development",https://www.theguardian.com/world/2020/sep/09/oxford-university-astrazeneca-covid-vaccine-trial-put-on-hold-due-to-adverse-reaction-in-participant,https://media.guim.co.uk/428a8cf93dbd78cba96403929de88c2af827170f/0_264_4679_2809/500.jpg
10-09-2020,Jessica Krug: white professor who pretended to be Black resigns from university post,Colleagues said they were ‘shocked and appalled’ by Krug’s admission that she had lied about being Black for her entire career,https://www.theguardian.com/world/2020/sep/09/jessica-krug-professor-resigns-george-washington,https://media.guim.co.uk/8e8ed88bc98641fcd5cd808d1c87cdd1bc309498/0_75_5568_3341/500.jpg
11-09-2020,'Rumors spread like wildfire': false posts claiming activists started Oregon fires flood social media,Officials have asked public to stop sharing rumors about the cause of fires that have killed three people and destroyed several towns,https://www.theguardian.com/world/2020/sep/10/oregon-fires-cause-rumors-activists-social-media,https://media.guim.co.uk/50d9652314947d0bed6816ef4264d27a7e216113/0_116_3500_2100/500.jpg
12-09-2020,Dozens missing in Oregon as historic fires devastate western US,"At least 23 dead in California, Oregon and Washington as Washington governor Jay Inslee says: ‘We have to start thinking of it as a climate fire’",https://www.theguardian.com/world/2020/sep/11/oregon-fires-california-washington-deaths-wildfires,https://media.guim.co.uk/63974dfd3b54526ce68cdf13a2ac782b6937f424/0_245_7360_4414/500.jpg
13-09-2020,‘Why I’m putting the faces of black British heroes on grocery shelves’,British farmer Wilfred Emmanuel-Jones says supermarkets will sell his new range of sausages featuring the faces of Mary Seacole and others during Black History Month,https://www.theguardian.com/world/2020/sep/13/why-im-putting-the-faces-of-black-british-heroes-on-grocery-shelves,https://media.guim.co.uk/45d125569aed80a6ea4b51012ad553a2da93c24e/0_11_2362_1417/500.jpg
