artist_image,artist_id,artist_popularity,artist_name,supergenre,genres,primary_genre
https://i.scdn.co/image/ab6761610000e5eb6e161f5ecf7f2c4f6c224b97,1ziop6MvACsEsogEf7Qqd4,31.0,Dweeb,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5eb41d567841e126a362402ff30,6DnF6PBcTSsEZuEjXpK0gX,39.0,Harris Cole,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5eb573972328e55c669a95d7bf0,3AtwKVMbgWCFvDsJRcN04A,15.0,b l o o p r,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77,04gDigrS5kc9YWfZHwBETP,87.0,Maroon 5,Pop,,pop
https://i.scdn.co/image/ab6761610000e5eb8820ef0d19e10fd8cc0a8b58,0hA8JnKhTRBeTfCFoZiem1,36.0,MF Eistee,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb2c6080d077af90af13068e4b,0f41KWC8A6b93s0n90uNjn,32.0,Mr Slipz,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb6a2d855259c970040c200192,3ENPUc4TI54xTPVo3Pc9ln,26.0,Dj Guv,Bass Music,,drum and bass
https://i.scdn.co/image/ab6761610000e5ebfa0ef81389aea247fa7dbdc3,4TcaTULxuMBvC57uafRGIE,35.0,Otesla,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5eb6c37e17cfd04f760d03cd909,6GFfu1alUSrL7qazImC160,49.0,Keaton Henson,Folk/Acoustic,,ambient folk
https://i.scdn.co/image/ab6761610000e5eb7ff2475940c30f3e8faa15a3,7dDPt2xIGymSDddx80OfF1,37.0,DJ Q,Bass Music,,bassline
https://i.scdn.co/image/ab6761610000e5eb055b7b456a9d22d6ae1ed18f,6uRJnvQ3f8whVnmeoecv5Z,75.0,Berliner Philharmoniker,Classical/Orchestral,,classical
https://i.scdn.co/image/ab6761610000e5ebf6e777bb4a99ac7ddd55c762,2hRQKC0gqlZGPrmUKbcchR,62.0,SHINee,Pop,,k-pop
https://i.scdn.co/image/ab6761610000e5ebd3b64e1e30595279734501da,4XyspdLDqzyfCKg5qJuJUD,19.0,Keem the Cipher,Hip Hop/Rap,,lo-fi beats
https://i.scdn.co/image/ab6761610000e5ebd8475001d2700686e1008dfb,2cnMpRsOVqtPMfq7YiFE6K,72.0,Van Halen,Metal,,glam metal
https://i.scdn.co/image/ab6761610000e5eb8ec6bbfb69d4d02b435e50b5,6fXEqmGQEt6ONuqVmwrN46,55.0,Bag Raiders,House & EDM,,alternative dance
https://i.scdn.co/image/ab6761610000e5eb354ff3509f4c8207e59223cc,6Tz0QRoe083BcOo2YbG9lV,63.0,Nena,Pop,,neue deutsche welle
https://i.scdn.co/image/ab6761610000e5ebc609e4ef97e896a2b32b1473,19y5MFBH7gohEdGwKM7QsP,65.0,Luther Vandross,R&B/Soul,,quiet storm
https://i.scdn.co/image/ab67616d0000b2735a6ba0ebbc30cbbb9c8960ea,2wJUlB2ko7ZDmjdWqWHn5w,25.0,Ilya Mann,Jazz,,jazz
https://i.scdn.co/image/ab6761610000e5eb487b00fa17362b8eab3b16c8,4N8BwYTEC6XqykGvXXlmfv,67.0,George Benson,Jazz,,smooth jazz
https://i.scdn.co/image/ab67616d0000b2733f7c360d639b073bc92193cb,2U5aTVWY5mr3m0XIJNh2Hd,20.0,Pittsburgh Symphony Brass,Jazz,,christmas
https://i.scdn.co/image/ab6761610000e5eb8ebc5323e0ba39463855b7cb,3IEgTdEwMmfG1JxfAr7tGK,13.0,La Rumorosa,Latin,,mariachi
https://i.scdn.co/image/ab6761610000e5eb2d93f81de3ed3b2bbec8202e,0WiK9IsQEQEuIQ1iDxvuPg,36.0,Johann Nepomuk Hummel,Classical/Orchestral,,classical
https://i.scdn.co/image/ab6761610000e5eb403667005af076e443ec9450,3hZaebXqrD5crmyMP2x1qa,35.0,blnkspc_,House & EDM,,lo-fi house
https://i.scdn.co/image/ab6761610000e5eb4138bbe58ea1c8a1277df076,1JKDQ9CDwfLKUrhO6KYaki,44.0,Gouryella,Techno & Trance,,trance
https://i.scdn.co/image/ab6761610000e5eb91fd0bccbc7c68bce634d9fd,1bq8rqNnfrojn0OSAfeNXJ,55.0,Sarcastic Sounds,Hip Hop/Rap,,lo-fi
https://i.scdn.co/image/ab6761610000e5eb6481401e529e475116702a29,2nszmSgqreHSdJA3zWPyrW,83.0,Luis Miguel,Latin,,mariachi
