genre,count
Harmonica Blues,2
egyptian shaabi,2
timba,2
Gabber,2
Romani,2
Unblack Metal,1
New Beat,1
salsa choke,1
vinahouse,1
algerian chaabi,1
Beguine,1
Nueva Cancion,1
egyptian hip hop,1
Jazzdance,1
Basque Music,1
Minneapolis Sound,1
Modern Electric Blues,1
Népzene,1
gujarati pop,1
manele,1
flamenco urbano,1
Ballet,1
Baltimore Club,1
oyun havasi,1
Carnatic,1
Future Pop,1
hindi indie,1
Seresta,1
Choro,1
moroccan rap,1
UK Street Soul,1
Witch House,1
bhojpuri pop,1
Raï,1
Ambient House,1
Symphonic Metal,1
Early,1
Depressive Black Metal,1
Therapy,1
Vaudeville,1
Cabaret,1
Mento,1
Atmospheric Black Metal,1
c-pop,1
pinoy hip hop,1
thai pop,1
Ethno-pop,1
Pipe & Drum,1
Spirituals,1
j-dance,1
Sámi Music,1
Mandopop,1
Nordic,1
Gothic Metal,1
latin r&b,1
Compas,1
pinoy indie,1
Power Violence,1
Doomcore,1
Steel Band,1
Mathcore,1
City Pop,1
country singer-songwriter,1
cumbia norteña,1
Beatbox,1
Bleep,1
bhojiwood,1
Noise Rock,1
Funk Metal,1
cumbia sonidera,1
hindi hip hop,1
Cajun,1
Deep Techno,1
Musette,1
mahraganat,1
Catalan Music,1
Mariachi,1
sandalwood,1
Groove Metal,1
Special Effects,1
Kwaito,1
J-Rock,1
mexican rock,1
mexican ska,1
Cumbia,1
trap funk,1
funk carioca,1
pagode baiano,1
Psychobilly,1
Juke,1
Footwork,1
UK Funky,1
Bolero,1
mollywood,1
Occitan,1
Promotional,1
Hillbilly,1
Louisiana Blues,1
Swamp Pop,1
Zydeco,1
Illbient,1
desi pop,1
pop urbano,1
Jangle Pop,1
Screw,1
Low Bap,1
Cubano,1
disco polo,1
sertanejo,1
Hyphy,1
Neo Trance,1
Halftime,1
taiwanese indie,1
visual kei,1
Sermon,1
Lowercase,1
Italo House,1
Bollywood,1
sertanejo universitário,1
sertanejo tradicional,1
Drill,1
gujarati garba,1
brazilian funk,1
Phonk,1
Noisecore,1
forró,1
Shidaiqu,1
karadeniz folk,1
Calypso,1
Progressive Breaks,1
Lento Violento,1
Hypnagogic pop,1
Zarzuela,1
Appalachian Music,1
Éntekhno,1
Laïkó,1
alternative pop,1
Qawwali,1
Goregrind,1
Honky Tonk,1
brazilian gospel,1
malayalam hip hop,1
malaysian pop,1
malay,1
norwegian hip hop,1
Ragga,1
Merengue,1
Industrial Metal,1
vietnamese hip hop,1
v-pop,1
vietnam indie,1
p-pop,1
harana,1
Space-Age,1
Desert Blues,1
Polka,1
Plunderphonics,1
duranguense,1
Sonero,1
Ghetto House,1
luk thung,1
