date (dd-mm-yyyy),webTitle,short_description,webUrl,imageUrl,section
02-09-2020,Grounded beef? Airlines sell in-flight meals to earthbound travellers,Carriers prevented from operating due to coronavirus have turned to offering trays of takeaway to nostalgic flyers,https://www.theguardian.com/world/2020/sep/02/grounded-beef-airlines-sell-in-flight-meals-to-earthbound-travellers,https://media.guim.co.uk/a5b25bfc117003bae2839532eda93ac36469f9e0/35_495_3624_2174/500.jpg,world
03-09-2020,New Zealand given 'F for failure' on child obesity and youth suicide in Unicef report,‘Woeful’ result puts country in bottom 15% for overall child wellbeing which Ardern says reflects previous government’s underinvestment,https://www.theguardian.com/world/2020/sep/03/new-zealand-given-f-for-failure-on-child-obesity-and-youth-suicide-in-unicef-report,https://media.guim.co.uk/ecc17f00d59bf5225fd2f12c96a25b9071abfe05/0_66_3287_1973/500.jpg,world
04-09-2020,James Shaw's mea culpa on school funding exposed his lack of political nous | Claire Robinson,"Green party leader came under fire from many quarters over the project, including supporters who asked how he could make such a mistake",https://www.theguardian.com/world/2020/sep/04/james-shaws-mea-culpa-on-green-school-funding-exposed-his-lack-of-political-nous,https://media.guim.co.uk/182abe5eeabe976ad81cbf5856fc4744d14ae60e/0_180_5400_3240/500.jpg,world
05-09-2020,Cook Islands former PM dies of coronavirus in New Zealand,"Joseph Williams, who practised as a GP in Auckland, is praised as a ‘pioneer’ who will be greatly missed in both countries<br>",https://www.theguardian.com/world/2020/sep/05/cook-islands-former-pm-dies-of-coronavirus-in-new-zealand,https://media.guim.co.uk/41bc781fac23040da4d4450cceac70273c6f2953/0_37_979_587/500.jpg,world
06-09-2020,'He's been set up': the American whose life may depend on US-China relations,"Sentenced to death in China, American Mark Swidan hopes for a permanent reprieve but his fate may hinge on an easing of diplomatic tensions",https://www.theguardian.com/world/2020/sep/06/hes-been-set-up-the-american-whose-life-may-depend-on-us-china-relations,https://media.guim.co.uk/8dc9ca53fb9446453b8e8a57d1b180fe5569a476/0_71_999_599/500.jpg,world
07-09-2020,Hope turns to despair as Egypt arrests witnesses to alleged 2014 gang rape,Activists say detentions break promise to protect those standing up to sexual assault ,https://www.theguardian.com/world/2020/sep/07/hope-turns-to-despair-as-egypt-arrests-witnesses-to-alleged-2014-gang,https://media.guim.co.uk/a5e04992c811877ef858d1e716bba5ea2fc416ef/0_0_4128_2477/500.jpg,world
08-09-2020,Record year for Atlantic storms as two new systems form in a day," Rene becomes storm number 17 of the year, forming earlier than the previous record-holder, Rita in 2005",https://www.theguardian.com/world/2020/sep/08/record-year-for-atlantic-storms-as-two-new-systems-form-in-a-day,https://media.guim.co.uk/b946a6c79513f555e36432d50c14d80adc195895/0_976_4000_2400/500.jpg,world
09-09-2020,Oxford University Covid vaccine trial put on hold due to possible adverse reaction in participant,"A spokesman for AstraZeneca, the company working on the coronavirus vaccine, said pausing trials was common during vaccine development",https://www.theguardian.com/world/2020/sep/09/oxford-university-astrazeneca-covid-vaccine-trial-put-on-hold-due-to-adverse-reaction-in-participant,https://media.guim.co.uk/428a8cf93dbd78cba96403929de88c2af827170f/0_264_4679_2809/500.jpg,world
10-09-2020,Jessica Krug: white professor who pretended to be Black resigns from university post,Colleagues said they were ‘shocked and appalled’ by Krug’s admission that she had lied about being Black for her entire career,https://www.theguardian.com/world/2020/sep/09/jessica-krug-professor-resigns-george-washington,https://media.guim.co.uk/8e8ed88bc98641fcd5cd808d1c87cdd1bc309498/0_75_5568_3341/500.jpg,world
11-09-2020,'Rumors spread like wildfire': false posts claiming activists started Oregon fires flood social media,Officials have asked public to stop sharing rumors about the cause of fires that have killed three people and destroyed several towns,https://www.theguardian.com/world/2020/sep/10/oregon-fires-cause-rumors-activists-social-media,https://media.guim.co.uk/50d9652314947d0bed6816ef4264d27a7e216113/0_116_3500_2100/500.jpg,world
