album_id,album_name,artist_name,release_date,album_artwork
11X2d5C6rFBFZZUOCJLPt9,34+35 (Remix),Ariana Grande,2021-01-15,https://i.scdn.co/image/ab67616d0000b27343d04ae192008a5113862faf
6EVYTRG1drKdO8OnIQBeEj,My Everything (Deluxe),Ariana Grande,2014-08-22,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa
4NBuascXb3uK0mFUYuJ63f,Charlie's Angels (Original Motion Picture Soundtrack),Various Artists,2019-11-01,https://i.scdn.co/image/ab67616d0000b273c891137d2513ecd496e9152e
3JUrJP460nFIqwjxM19slT,Wicked: The Soundtrack,Wicked Movie Cast,2024-11-22,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c
0gmRRrFSd6GrjOCJchnCtE,The Hamilton Mixtape,Lin-Manuel Miranda,2016-12-02,https://i.scdn.co/image/ab67616d0000b273540fd3369c574e2ce651cbcd
3AhP76AusdcJ9sZ4XgUcEc,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2017-03-10,https://i.scdn.co/image/ab67616d0000b273fac61ec6ab51254a1a4ee6b1
5Q0qbSqqQGoHuG3SHR8Nv8,Top Boy (feat. P Money),Ashley Walters,2019-10-22,https://i.scdn.co/image/ab67616d0000b273a3a4f13a692b599325a09aa8
6fzxrq4vexEOJZfWdRz5yu,Beresoonamet,Alishmas,2010-01-01,https://i.scdn.co/image/ab67616d0000b27351094b7fb58487edec60901a
2q6jDZSKCp6O47UY3d0qV8,Party's Over (Acoustic),Astrid S,2017-07-14,https://i.scdn.co/image/ab67616d0000b273cb2074a11da155f5b0ed8320
4itbCNf9eFdN2eKl6cFqAY,Tango,Atilio Stampone,2000-07-15,https://i.scdn.co/image/ab67616d0000b273d64e31d317078963072cfd7a
6qykGE5x584duyLVYcnojE,Disney Summer Songs,Disney,2021-05-28,https://i.scdn.co/image/ab67616d0000b2737b1489e71cadf8a1c0382d7d
